FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB
SEQUENTIAL;2;20;2;4000;0;0.075867;1;;;MIXED;2;20;2;4000;0;0.090482;1;;;RANDOM;2;20;2;4000;0;0.073706;1
SEQUENTIAL;2;20;2;4000;0;0.085729;1;;;MIXED;2;20;2;4000;0;0.077052;1;;;RANDOM;2;20;2;4000;0;0.080833;1
SEQUENTIAL;2;20;2;4000;0;0.078017;1;;;MIXED;2;20;2;4000;0;0.078946;1;;;RANDOM;2;20;2;4000;0;0.085102;1
SEQUENTIAL;2;20;2;4000;0;0.076514;1;;;MIXED;2;20;2;4000;0;0.082774;1;;;RANDOM;2;20;2;4000;0;0.080227;1
SEQUENTIAL;2;20;2;4000;0;0.083174;1;;;MIXED;2;20;2;4000;0;0.080390;1;;;RANDOM;2;20;2;4000;0;0.079318;1
SEQUENTIAL;2;20;2;4000;0;0.079641;1;;;MIXED;2;20;2;4000;0;0.081426;1;;;RANDOM;2;20;2;4000;0;0.075919;1
SEQUENTIAL;2;20;2;4000;0;0.077273;1;;;MIXED;2;20;2;4000;0;0.078827;1;;;RANDOM;2;20;2;4000;0;0.080465;1
SEQUENTIAL;2;20;2;4000;0;0.073884;1;;;MIXED;2;20;2;4000;0;0.076520;1;;;RANDOM;2;20;2;4000;0;0.080110;1
SEQUENTIAL;2;20;2;4000;0;0.075615;1;;;MIXED;2;20;2;4000;0;0.080672;1;;;RANDOM;2;20;2;4000;0;0.073872;1
SEQUENTIAL;2;20;2;4000;0;0.085922;1;;;MIXED;2;20;2;4000;0;0.078413;1;;;RANDOM;2;20;2;4000;0;0.071938;1
SEQUENTIAL;2;20;2;4000;26;0.077715;0.8;;;MIXED;2;20;2;4000;21;0.080935;0.8;;;RANDOM;2;20;2;4000;12;0.077010;0.8
SEQUENTIAL;2;20;2;4000;39;0.075271;0.8;;;MIXED;2;20;2;4000;6;0.080298;0.8;;;RANDOM;2;20;2;4000;2;0.082154;0.8
SEQUENTIAL;2;20;2;4000;23;0.076038;0.8;;;MIXED;2;20;2;4000;15;0.077751;0.8;;;RANDOM;2;20;2;4000;2;0.079780;0.8
SEQUENTIAL;2;20;2;4000;6;0.078644;0.8;;;MIXED;2;20;2;4000;14;0.090936;0.8;;;RANDOM;2;20;2;4000;16;0.075301;0.8
SEQUENTIAL;2;20;2;4000;11;0.077677;0.8;;;MIXED;2;20;2;4000;29;0.081891;0.8;;;RANDOM;2;20;2;4000;3;0.080721;0.8
SEQUENTIAL;2;20;2;4000;66;0.077333;0.8;;;MIXED;2;20;2;4000;28;0.079708;0.8;;;RANDOM;2;20;2;4000;2;0.074879;0.8
SEQUENTIAL;2;20;2;4000;42;0.078144;0.8;;;MIXED;2;20;2;4000;12;0.081457;0.8;;;RANDOM;2;20;2;4000;15;0.087952;0.8
SEQUENTIAL;2;20;2;4000;21;0.078242;0.8;;;MIXED;2;20;2;4000;11;0.080178;0.8;;;RANDOM;2;20;2;4000;8;0.078764;0.8
SEQUENTIAL;2;20;2;4000;17;0.078948;0.8;;;MIXED;2;20;2;4000;11;0.082877;0.8;;;RANDOM;2;20;2;4000;13;0.089710;0.8
SEQUENTIAL;2;20;2;4000;9;0.076690;0.8;;;MIXED;2;20;2;4000;31;0.081391;0.8;;;RANDOM;2;20;2;4000;17;0.082956;0.8
SEQUENTIAL;2;20;2;4000;0;0.078337;0.6;;;MIXED;2;20;2;4000;37;0.079395;0.6;;;RANDOM;2;20;2;4000;14;0.084599;0.6
SEQUENTIAL;2;20;2;4000;28;0.073904;0.6;;;MIXED;2;20;2;4000;49;0.081335;0.6;;;RANDOM;2;20;2;4000;51;0.081371;0.6
SEQUENTIAL;2;20;2;4000;11;0.074803;0.6;;;MIXED;2;20;2;4000;30;0.081355;0.6;;;RANDOM;2;20;2;4000;40;0.082156;0.6
SEQUENTIAL;2;20;2;4000;4;0.073964;0.6;;;MIXED;2;20;2;4000;53;0.083584;0.6;;;RANDOM;2;20;2;4000;21;0.083151;0.6
SEQUENTIAL;2;20;2;4000;15;0.080663;0.6;;;MIXED;2;20;2;4000;70;0.082265;0.6;;;RANDOM;2;20;2;4000;57;0.081389;0.6
SEQUENTIAL;2;20;2;4000;17;0.078613;0.6;;;MIXED;2;20;2;4000;42;0.081110;0.6;;;RANDOM;2;20;2;4000;32;0.078202;0.6
SEQUENTIAL;2;20;2;4000;20;0.071361;0.6;;;MIXED;2;20;2;4000;43;0.084438;0.6;;;RANDOM;2;20;2;4000;76;0.078630;0.6
SEQUENTIAL;2;20;2;4000;12;0.078597;0.6;;;MIXED;2;20;2;4000;60;0.081105;0.6;;;RANDOM;2;20;2;4000;10;0.084025;0.6
SEQUENTIAL;2;20;2;4000;51;0.076531;0.6;;;MIXED;2;20;2;4000;71;0.079802;0.6;;;RANDOM;2;20;2;4000;45;0.086237;0.6
